                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.38461,                0.30511,                0.87662,                0.93995,                0.82289,                 0.9139,                0.75451,                0.84987,                0.70997,                 1.0673,              0.0005669,              0.0005669,              0.0005669
                    141,                0.43264,                0.35621,                0.91155,                0.92226,                0.83203,                0.90494,                  0.738,                0.84654,                0.73142,                 1.0705,             0.00056195,             0.00056195,             0.00056195
                    142,                0.40629,                0.32453,                 0.8839,                0.94801,                0.76977,                0.88028,                 0.7271,                0.86589,                0.76036,                 1.0992,               0.000557,               0.000557,               0.000557
                    143,                0.40644,                 0.3133,                0.87716,                0.88911,                0.79287,                0.88086,                 0.7375,                 0.8588,                0.74269,                  1.095,             0.00055205,             0.00055205,             0.00055205
                    144,                0.41015,                0.31379,                0.88759,                0.87102,                0.84723,                0.89846,                0.74846,                0.83657,                0.67432,                  1.104,              0.0005471,              0.0005471,              0.0005471
                    145,                0.38043,                0.31555,                  0.895,                0.85964,                0.86015,                0.89893,                0.74707,                0.82755,                0.65166,                 1.1051,             0.00054215,             0.00054215,             0.00054215
                    146,                0.41855,                   0.35,                0.90392,                0.87971,                 0.8354,                 0.8994,                0.73559,                0.84339,                0.65492,                 1.1162,              0.0005372,              0.0005372,              0.0005372
                    147,                0.43036,                0.32945,                0.90324,                0.88295,                 0.8354,                0.89574,                0.73535,                0.85111,                0.65435,                 1.1219,             0.00053225,             0.00053225,             0.00053225
                    148,                0.39781,                0.33132,                0.89648,                0.90434,                0.84327,                0.90818,                0.74103,                0.86531,                0.68836,                 1.1299,              0.0005273,              0.0005273,              0.0005273
                    149,                0.40538,                0.32052,                0.87944,                0.87461,                0.84814,                0.89478,                0.74801,                0.86901,                0.67585,                 1.1289,             0.00052235,             0.00052235,             0.00052235
